Sample.tag.,Subspp.Prov.ID,Pop,Height10_10,Crown10_10,Ellip_vol10_10,Height5_11,Crown7_11,Ellip_vol11,Height5_12,Crown5_12,Ellip_vol12,2yr_grw_vol_cm,2yr_grw_vol_m,y2011,y2012,y2011_m,y2012_m
53,IDT-3-5,IDT-3-5,20.5,50.8,4362.206119,7.7,1067.086,34417.45526,47.5,5095.725,1013883.841,1043939.09,1.04393909,34417.45526,979466.3856,0.034417455,0.979466386
54,MTW-2-3,MTW-2-3,13,21.5,1170.766862,9.8,1009.604,41444.38959,46,3967.167,764410.9924,804684.6152,0.804684615,41444.38959,722966.6028,0.04144439,0.722966603
55,WAT-2-8,WAT-2-8,20,66.6,5579.468553,14.5,1412.182,85772.34487,65.8,6161.901,1698357.914,1778550.791,1.778550791,85772.34487,1612585.569,0.085772345,1.612585569
56,IDV-5-1,IDV-5-1,17.2,75.3,5425.153522,12,1221.35,61391.747,38,2808.847,447095.4904,503062.0839,0.503062084,61391.747,385703.7434,0.061391747,0.385703743
57,IDT-2-9,IDT-2-9,32.3,170.6,23081.82577,16,1180.946,79147.76059,71,7586.819,2256351.111,2312417.046,2.312417046,79147.76059,2177203.35,0.079147761,2.17720335
58,AZW-1-10,AZW-1-10,16,23.9,1601.793374,8.5,202.036,7193.434551,20.5,542.283,46565.94923,52157.59041,0.05215759,7193.434551,39372.51468,0.007193435,0.039372515
59,IDT-3-4,IDT-3-4,19.5,98,8004.778081,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,ORW-3-1,ORW-3-1,18,102.8,7750.937395,13.6,1423.753,81107.71564,35.5,4157.125,618173.019,691529.7973,0.691529797,81107.71564,537065.3034,0.081107716,0.537065303
61,CAT-2-5,CAT-2-5,39.5,432,71477.51605,17.2,2966.1,213699.1748,70.5,8074.884,2384591.648,2526813.307,2.526813307,213699.1748,2170892.473,0.213699175,2.170892473
62,MTT-1-8,MTT-1-8,21,28,2463.00864,9.8,1034.912,42483.28663,68.3,6361.257,1819919.82,1859940.098,1.859940098,42483.28663,1777436.533,0.042483287,1.777436533
63,NVT-2-9,NVT-2-9,39.8,244.2,40711.52221,15.1,894.42,56572.7198,57.6,5649.442,1363065.253,1378926.451,1.378926451,56572.7198,1306492.533,0.05657272,1.306492533
64,MTT-1-5,MTT-1-5,25,159.1,16660.91304,13.3,2015.693,112296.0908,81.3,10405.313,3543515.229,3639150.407,3.639150407,112296.0908,3431219.138,0.112296091,3.431219138
65,CAW-3-2,CAW-3-2,19.5,275,22462.38747,14.6,2407.415,147228.683,53.5,5714.314,1280579.344,1405345.64,1.40534564,147228.683,1133350.661,0.147228683,1.133350661
66,WYW-1-2,WYW-1-2,11,42.7,1967.474759,11,808.806,37267.10515,44.5,2688.588,501155.933,536455.5634,0.536455563,37267.10515,463888.8279,0.037267105,0.463888828
67,UTV-3-5,UTV-3-5,17.4,74.3,5415.351753,10.9,1104.114,50411.4308,67.3,2540.628,716217.2119,761213.2909,0.761213291,50411.4308,665805.7811,0.050411431,0.665805781
68,WAT-2-7,WAT-2-7,20.5,75.3,6466.026,11.5,1373.721,66173.63429,65.5,6746.102,1850899.392,1910607,1.910607,66173.63429,1784725.757,0.066173634,1.784725757
69,CAV-1-1,CAV-1-1,9.5,44.8,1782.749111,7.4,736.336,22824.24198,30,2233.865,280715.7549,301757.2478,0.301757248,22824.24198,257891.5129,0.022824242,0.257891513
70,IDV-3-7,IDV-3-7,14.6,178.5,10916.40615,12.7,2221.277,118166.6844,38.5,4135.595,666940.8833,774191.1616,0.774191162,118166.6844,548774.1989,0.118166684,0.548774199
71,NVW-1-6,NVW-1-6,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,MTW-2-9,MTW-2-9,10.5,42.5,1869.247629,10.8,539.2,24392.83333,41,2796.99,480356.1769,502879.7626,0.502879763,24392.83333,455963.3436,0.024392833,0.455963344
73,UTW-1-2,UTW-1-2,27.7,109.6,12716.83196,10,1349.733,56537.48369,63.4,4293.043,1140100.42,1183921.072,1.183921072,56537.48369,1083562.936,0.056537484,1.083562936
74,UTV-1-3,UTV-1-3,23.6,164.9,16301.26351,18.5,3428.3,265667.945,46.5,4303.939,838315.8349,1087682.516,1.087682516,265667.945,572647.8899,0.265667945,0.57264789
75,UTV-3-2,UTV-3-2,18.4,139.5,10751.7867,12.8,1659.129,88956.71429,51.3,3113.774,669103.1314,747308.059,0.747308059,88956.71429,580146.4171,0.088956714,0.580146417
76,ORW-2-6,ORW-2-6,26.3,267.6,29480.20281,16.1,1472.664,99315.75666,39.4,2053.927,338976.6904,408812.2442,0.408812244,99315.75666,239660.9337,0.099315757,0.239660934
77,AZW-1-4,AZW-1-4,46.8,434.8,85236.18391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,COW-1-5,COW-1-5,13,57.9,3152.902387,12,832.225,41832.19114,36.8,3967.167,611528.7939,650208.0827,0.650208083,41832.19114,569696.6028,0.041832191,0.569696603
79,ORV-1-2,ORV-1-2,32.6,427.1,58322.45286,14.5,1650.725,100260.8403,66,3525.345,974617.4199,1016555.807,1.016555807,100260.8403,874356.5796,0.10026084,0.87435658
80,WAW-3-9,WAW-3-9,42,370.6,65199.3573,13.8,1216.519,70321.25162,69.8,6409.356,1873951.845,1879073.739,1.879073739,70321.25162,1803630.593,0.070321252,1.803630593
81,UTV-2-5,UTV-2-5,31.6,289.6,38333.12713,13.7,3041.904,174563.9982,60.5,6824.824,1729559.233,1865790.104,1.865790104,174563.9982,1554995.235,0.174563998,1.554995235
82,AZW-1-7,AZW-1-7,36.7,185.3,28485.90968,12.7,1296.276,68958.81829,63.5,6276.866,1669572.151,1710045.06,1.71004506,68958.81829,1600613.333,0.068958818,1.600613333
83,MTW-1-6,MTW-1-6,15,19.5,1225.221135,8.5,1027.952,36599.93978,42.3,3767.812,667602.8802,702977.5988,0.702977599,36599.93978,631002.9404,0.03659994,0.63100294
84,WAT-2-4,WAT-2-4,41.3,80.7,13960.86076,10.4,981.769,42769.21345,55.5,2201.369,511769.5462,540577.8989,0.540577899,42769.21345,469000.3327,0.042769213,0.469000333
85,NVT-1-10,NVT-1-10,48.3,304.5,61606.00362,13.2,2057.067,113739.4117,88,5515.392,2033048.159,2085181.567,2.085181567,113739.4117,1919308.747,0.113739412,1.919308747
86,IDV-5-3,IDV-5-3,25.4,144.5,15374.11669,13,1229.071,66928.16736,44,2794.968,515131.5216,566685.5722,0.566685572,66928.16736,448203.3542,0.066928167,0.448203354
87,COT-1-8,COT-1-8,63.2,1211.4,320695.7887,17.8,3462.753,258184.4761,84.3,8619.734,3043757.494,2981246.182,2.981246182,258184.4761,2785573.018,0.258184476,2.785573018
88,ORT-2-1,ORT-2-1,56.4,813.8,192258.4332,16.1,3745.774,252613.2092,98.1,7298.772,2999213.719,3059568.495,3.059568495,252613.2092,2746600.51,0.252613209,2.74660051
89,UTV-3-6,UTV-3-6,16.5,156,10781.94599,14.5,2305.528,140031.91,52,5997,1306249.093,1435499.057,1.435499057,140031.91,1166217.183,0.14003191,1.166217183
90,CAV-1-2,CAV-1-2,10,30.4,1273.392222,6.1,449.293,11480.16412,32.3,1590.963,215253.9904,225460.7623,0.225460762,11480.16412,203773.8263,0.011480164,0.203773826
91,UTT-3-2,UTT-3-2,43.9,316.5,58200.51718,14.2,911.267,54202.90923,75,4928.289,1548267.652,1544270.044,1.544270044,54202.90923,1494064.742,0.054202909,1.494064742
92,IDW-1-3,IDW-1-3,9.8,19.7,808.6878369,5.7,470.876,11242.68443,52.5,3063.018,673592.8393,684026.8359,0.684026836,11242.68443,662350.1548,0.011242684,0.662350155
93,CAW-3-6,CAW-3-6,19.1,202.7,16217.19449,15.9,1837.014,122348.3734,50.4,6415.927,1354498.597,1460629.776,1.460629776,122348.3734,1232150.224,0.122348373,1.232150224
94,ORT-1-5,ORT-1-5,13.3,27,1504.194563,7.5,684.517,21504.73578,43.5,3358.457,611952.4226,631952.9639,0.631952964,21504.73578,590447.6869,0.021504736,0.590447687
95,ORT-2-6,ORT-2-6,59.4,1679.9,417982.8707,18.2,3578.434,272805.429,70.5,7860.475,2321274.588,2176097.147,2.176097147,272805.429,2048469.159,0.272805429,2.048469159
96,IDW-1-8,IDW-1-8,9.1,17.6,670.8766392,6.9,162.053,4683.761531,27.6,566.305,65470.8663,69483.75119,0.069483751,4683.761531,60787.10477,0.004683762,0.060787105
97,CAV-4-1,CAV-4-1,53,1557.5,345774.1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,ORT-1-10,ORT-1-10,22,112,10321.17906,8.4,1691.333,59510.96847,66.8,6189.502,1731891.893,1781081.683,1.781081683,59510.96847,1672380.925,0.059510968,1.672380925
99,IDT-2-1,IDT-2-1,25.5,88.7,9474.415125,9.2,1068.404,41172.94593,73,2218.023,678230.8102,709929.341,0.709929341,41172.94593,637057.8643,0.041172946,0.637057864
100,NMT-2-2,NMT-2-2,32.2,78.1,10534.05338,11.1,895.091,41617.76739,53,2298.364,510250.3243,541334.0383,0.541334038,41617.76739,468632.557,0.041617767,0.468632557
101,ORV-1-1,ORV-1-1,25.6,206.5,22143.62054,10.8,2011.829,91012.99978,63.8,8303.589,2219091.107,2287960.486,2.287960486,91012.99978,2128078.107,0.091013,2.128078107
102,IDW-3-6,IDW-3-6,20,24.6,2060.884781,5.5,624.631,14390.46518,49,3014.24,618674.9304,631004.5108,0.631004511,14390.46518,604284.4652,0.014390465,0.604284465
103,UTT-1-3,UTT-1-3,37.5,229.8,36096.89959,13.5,2355.707,133212.0925,71,7831.308,2329063.143,2426178.336,2.426178336,133212.0925,2195851.051,0.133212092,2.195851051
104,NMT-1-8,NMT-1-8,38.2,172,27522.02716,12.2,2205.454,112705.8462,86.5,7381.606,2674579.906,2759763.725,2.759763725,112705.8462,2561874.059,0.112705846,2.561874059
107,IDV-2-9,IDV-2-9,16.4,180.8,12420.26561,19,1751.922,139430.2405,51,4423.324,944947.1884,1071957.163,1.071957163,139430.2405,805516.9479,0.139430241,0.805516948
108,IDV-2-1,IDV-2-1,22.2,208.2,19360.75588,16.2,2465.038,167273.5379,50.5,4873.99,1031014.139,1178926.921,1.178926921,167273.5379,863740.6014,0.167273538,0.863740601
109,ORT-3-7,ORT-3-7,18.5,99.6,7718.264831,12.3,1600.515,82461.92512,60.2,5565.788,1403497.879,1478241.539,1.478241539,82461.92512,1321035.954,0.082461925,1.321035954
110,CAW-3-3,CAW-3-3,17,143.7,10232.79559,14.6,2414.152,147640.6933,39.5,4501.793,744854.1237,882262.0213,0.882262021,147640.6933,597213.4304,0.147640693,0.59721343
111,ORT-3-10,ORT-3-10,30.3,88,11168.9902,14.8,1705.056,105703.4037,63.5,3592.753,955629.8245,1050164.238,1.050164238,105703.4037,849926.4208,0.105703404,0.849926421
112,MTW-1-3,MTW-1-3,17.8,94.3,7031.05191,13.3,1305.093,72707.9183,29,1221.144,148338.3647,214015.2311,0.214015231,72707.9183,75630.44645,0.072707918,0.075630446
113,MTW-1-4,MTW-1-4,16.4,93.7,6436.830132,14.5,1054.197,64029.24598,42.6,2732.981,487679.8602,545272.2761,0.545272276,64029.24598,423650.6142,0.064029246,0.423650614
114,WYW-2-1,WYW-2-1,12.5,17.7,926.7698328,7.9,1006.978,33322.3547,48,4252.691,855054.2594,887449.8443,0.887449844,33322.3547,821731.9047,0.033322355,0.821731905
115,NMT-1-2,NMT-1-2,41.8,292.9,51284.28001,14.5,1364.754,82891.68871,73.7,7010.666,2164289.608,2195897.017,2.195897017,82891.68871,2081397.92,0.082891689,2.08139792
116,MTW-2-8,MTW-2-8,15.2,161.7,10295.37612,18.5,1670.642,129462.4236,53,4967.67,1102851.954,1222019.002,1.222019002,129462.4236,973389.5305,0.129462424,0.973389531
117,IDT-3-3,IDT-3-3,40,337.3,56515.15744,16.8,3037.121,213727.2933,56.3,3723.986,878223.4793,1035435.615,1.035435615,213727.2933,664496.186,0.213727293,0.664496186
118,CAV-3-4,CAV-3-4,60.6,796.8,202260.2589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,IDV-5-9,IDV-5-9,7.3,27.6,843.9574505,7.4,488.911,15154.7975,37.5,1533.598,240897.0105,255207.8506,0.255207851,15154.7975,225742.213,0.015154797,0.225742213
120,ORV-1-5,ORV-1-5,15.6,186.7,12199.93525,10.8,2168.944,98120.71492,54.6,6376.192,1458285.77,1544206.55,1.54420655,98120.71492,1360165.055,0.098120715,1.360165055
121,IDV-2-6,IDV-2-6,19.5,88.4,7220.636555,12,1702.894,85596.78848,51,4224.994,902578.2876,980954.4395,0.98095444,85596.78848,816981.4991,0.085596788,0.816981499
122,MTT-1-7,MTT-1-7,16.1,36.6,2468.286516,9.7,1059.237,43038.13923,74.5,5028.349,1569171.078,1609740.931,1.609740931,43038.13923,1526132.939,0.043038139,1.526132939
123,CAW-3-4,CAW-3-4,16,187.8,12586.47681,13,1599.421,87095.30724,40,3914.835,655936.9001,730445.7305,0.73044573,87095.30724,568841.5928,0.087095307,0.568841593
124,IDV-3-4,IDV-3-4,35.4,231.1,34268.24134,14.8,2220.792,137675.9903,67.7,4616.92,1309271.238,1412678.987,1.412678987,137675.9903,1171595.247,0.13767599,1.171595247
125,UTT-2-5,UTT-2-5,36.8,324.7,50051.68661,19.7,2450.954,202250.6825,110,7566.765,3486515.023,3638714.018,3.638714018,202250.6825,3284264.34,0.202250683,3.28426434
126,IDW-2-5,IDW-2-5,16.5,95.9,6628.132181,9.4,290.309,11430.80886,44,2157.342,397612.7337,402415.4103,0.40241541,11430.80886,386181.9248,0.011430809,0.386181925
127,NVW-1-8,NVW-1-8,46.4,869.8,169054.211,21.3,2745.334,244942.08,78.8,7896.619,2606489.689,2682377.558,2.682377558,244942.08,2361547.609,0.24494208,2.361547609
128,ORW-2-3,ORW-2-3,27.2,119.1,13569.66964,12.2,1697.208,86732.8286,55.3,5056.519,1171292.558,1244455.717,1.244455717,86732.8286,1084559.73,0.086732829,1.08455973
129,ORT-3-5,ORT-3-5,12,19.8,995.2565527,7.1,690.073,20523.05426,60,2785.877,700167.2574,719695.0551,0.719695055,20523.05426,679644.2031,0.020523054,0.679644203
130,ORT-1-9,ORT-1-9,26.6,192.9,21493.26897,18.9,2570.466,203498.999,89.4,4662.676,1746068.857,1928074.587,1.928074587,203498.999,1542569.858,0.203498999,1.542569858
131,UTV-1-1,UTV-1-1,20.2,80.2,6786.007683,12.1,1696.923,86007.45873,52,4165.753,907372.1988,986593.6499,0.98659365,86007.45873,821364.7401,0.086007459,0.82136474
132,IDT-1-7,IDT-1-7,26,124.6,13570.00475,11.2,1390.639,65241.06424,65.7,4729.778,1301651.538,1353322.597,1.353322597,65241.06424,1236410.473,0.065241064,1.236410473
133,COW-2-10,COW-2-10,26.1,81.2,8877.386857,12,809.255,40677.59301,55,1901.827,438149.487,469949.6931,0.469949693,40677.59301,397471.894,0.040677593,0.397471894
134,NVV-3-8,NVV-3-8,12.3,69.9,3601.396154,10.3,1041.025,44914.54383,46.5,3948.451,769074.3286,810387.4763,0.810387476,44914.54383,724159.7848,0.044914544,0.724159785
135,IDT-3-2,IDT-3-2,13.3,54.9,3058.528944,10.4,1626.108,70838.82273,72.6,3956.685,1203252.317,1271032.611,1.271032611,70838.82273,1132413.494,0.070838823,1.132413494
136,COT-1-5,COT-1-5,53.6,950.1,213315.6491,17,4300.255,306218.7224,93.2,9354.35,3651893.78,3744796.853,3.744796853,306218.7224,3345675.057,0.306218722,3.345675057
137,CAT-1-2,CAT-1-2,33.4,315.1,44084.2523,14.4,2020.945,121900.5305,71.3,6223.559,1858732.746,1936549.025,1.936549025,121900.5305,1736832.216,0.121900531,1.736832216
138,CAV-2-9,CAV-2-9,31.5,476.7,62899.08315,15.8,2307.028,152685.7694,52.5,2877.68,632834.8843,722621.5705,0.722621571,152685.7694,480149.115,0.152685769,0.480149115
139,ORW-2-8,ORW-2-8,31.6,307.8,40742.18415,14.7,2677.468,164865.6705,43.5,1447.622,263774.6411,387898.1275,0.387898127,164865.6705,98908.97068,0.16486567,0.098908971
140,NVW-1-9,NVW-1-9,43.5,319.4,58198.63223,11.6,3111.921,151208.1368,75.5,10061.127,3181868.242,3274877.747,3.274877747,151208.1368,3030660.105,0.151208137,3.030660105
141,AZW-1-5,AZW-1-5,23.4,72.4,7096.480813,9.1,358.002,13646.31697,41.3,1525.427,263894.3488,270444.185,0.270444185,13646.31697,250248.0318,0.013646317,0.250248032
142,UTT-2-9,UTT-2-9,31.5,187.3,24713.65277,10.1,1725.541,73002.08531,96,4508.595,1813013.623,1861302.056,1.861302056,73002.08531,1740011.538,0.073002085,1.740011538
143,CAV-4-4,CAV-4-4,32.3,219,29630.24527,15.7,1449.07,95296.64849,62.8,4570.051,1202179.449,1267845.853,1.267845853,95296.64849,1106882.801,0.095296648,1.106882801
144,AZW-1-3,AZW-1-3,47,256.8,50557.02226,12.6,1880.196,99234.40701,58,4528.603,1100223.337,1148900.722,1.148900722,99234.40701,1000988.93,0.099234407,1.00098893
145,ORV-1-8,ORV-1-8,21.5,62.6,5637.692737,7.6,1607.971,51189.44413,58,3934.393,955860.1179,1001411.869,1.001411869,51189.44413,904670.6738,0.051189444,0.904670674
