Sample.tag.,Subspp.Prov.ID,STATE,Subspecies,subsppcyt,surv,x,y,size_t,census,time_mo,growth,dieback,Status,height_cm,width1_cm,width2_cm,repro
95,ORT-2-6,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,159,205,203,1
96,IDW-1-8,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
97,CAV-4-1,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
98,ORT-1-10,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,110,164,157,1
99,IDT-2-1,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,41,135,62,0
100,NMT-2-2,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,96,125,98,1
101,ORV-1-1,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,86,185,103,1
102,IDW-3-6,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,85,82,66,1
103,UTT-1-3,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,113,147,121,1
104,NMT-1-8,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,154,230,195,1
107,IDV-2-9,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,80,145,99,1
108,IDV-2-1,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,75,161,117,1
109,ORT-3-7,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,96,173,131,1
110,CAW-3-3,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
111,ORT-3-10,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,108,184,177,1
112,MTW-1-3,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,73,168,88,1
113,MTW-1-4,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,79,171,167,1
114,WYW-2-1,WY,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,62,143,87,1
115,NMT-1-2,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,115,197,164,1
116,MTW-2-8,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,91,154,128,1
117,IDT-3-3,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,138,168,165,1
118,CAV-3-4,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
119,IDV-5-9,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,4,A,29,68,29,0
120,ORV-1-5,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,4,A,60,147,85,1
121,IDV-2-6,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,4,A,67,142,86,1
122,MTT-1-7,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,139,181,165,1
123,CAW-3-4,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
124,IDV-3-4,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,102,142,125,1
125,UTT-2-5,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,152,210,155,1
126,IDW-2-5,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,89,100,87,1
127,NVW-1-8,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
128,ORW-2-3,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
129,ORT-3-5,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,131,192,111,1
130,ORT-1-9,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,89,138,82,1
131,UTV-1-1,UT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
132,IDT-1-7,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
133,COW-2-10,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
134,NVV-3-8,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
135,IDT-3-2,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,132,190,138,1
136,COT-1-5,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,146,290,230,1
137,CAT-1-2,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,146,221,97,1
138,CAV-2-9,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
139,ORW-2-8,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,92,115,76,1
140,NVW-1-9,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,131,222,220,1
141,AZW-1-5,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,36,87,79,0
142,UTT-2-9,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,180,194,182,1
143,CAV-4-4,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,105,177,133,1
144,AZW-1-3,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,3,A,83,118,93,1
145,ORV-1-8,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,4,A,50,57,93,0
146,NVT-2-5,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,4,A,132,125,120,1
147,MTW-3-5,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,79,172,156,1
148,CAT-2-1,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
149,IDV-5-5,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,60,124,123,1
150,UTT-3-9,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,131,194,182,1
151,WAW-3-4,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,94,132,91,1
152,WAW-3-1,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,150,164,158,1
153,IDV-4-7,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
154,UTW-1-8,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,99,118,115,1
155,IDW-3-5,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,4,A,70,84,76,1
156,IDV-5-6,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,4,A,92,177,176,1
157,NVT-1-5,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,153,152,151,1
158,NMT-2-5,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,125,118,151,1
159,AZT-1-10,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,117,140,128,1
160,WAW-3-5,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,143,210,183,1
161,ORT-3-9,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
162,CAV-3-6,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
163,COT-1-2,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,174,236,235,1
164,NVT-1-4,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,122,169,101,1
165,UTW-2-6,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,102,142,129,1
166,ORW-2-5,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,89,108,93,1
167,IDV-4-6,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,57,117,111,1
168,NVV-1-3,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
169,IDT-3-1,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,118,145,144,1
170,NVT-2-1,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,152,176,169,1
171,IDW-3-7,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,72,109,74,1
172,NMT-1-3,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,126,140,126,1
173,WAT-2-2,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,132,193,188,1
174,MTW-2-7,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,93,160,125,1
175,CAT-2-7,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,109,159,88,1
176,CAV-2-3,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
177,UTT-3-10,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,160,164,163,1
178,UTT-2-10,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,69,138,94,1
179,ORV-1-7,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,52,127,105,1
180,CAW-3-9,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
181,WAT-1-4,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,112,147,103,1
182,MTW-3-3,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
183,NVW-1-10,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
184,COW-2-1,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
185,UTV-3-4,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
186,NMT-1-1,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,3,A,100,162,115,1
187,NVW-1-1,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
188,UTT-2-6,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
189,NVT-1-9,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,139,150,111,1
190,WAT-1-8,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,158,340,266,1
191,ORW-2-6,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,134,173,142,1
192,ORW-3-3,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,67,176,127,1
193,NVV-1-4,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
194,CAV-2-10,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
195,IDV-5-8,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
196,CAT-2-10,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,98,205,80,1
197,WAT-1-7,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,152,218,153,1
198,IDW-2-2,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,73,78,75,1
199,ORV-1-6,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,64,160,158,1
200,AZW-1-8,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,74,143,92,1
201,ORW-1-1,OR,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,105,152,90,1
202,CAT-2-2,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,114,173,167,1
203,IDT-1-9,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,49,36,32,1
204,CAV-3-7,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,64,98,89,1
205,MTV-1-10,MT,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,70,163,143,1
206,MTW-1-2,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,77,174,138,1
207,IDW-1-1,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
208,NMT-2-1,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,137,155,80,1
209,NMT-2-10,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,123,180,94,1
210,AZT-1-4,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,111,172,163,1
211,UTT-2-4,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,230,175,160,1
212,NVT-1-3,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,126,217,109,1
213,WAT-1-6,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,140,168,137,1
214,COW-1-10,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,86,172,133,1
215,IDW-1-2,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
216,COW-1-9,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,75,145,140,1
217,WAT-2-9,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,84,145,125,1
218,NVT-2-4,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,138,140,127,1
219,UTT-3-3,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,166,152,137,1
220,ORV-2-3,OR,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,89,147,111,1
221,UTT-3-7,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,81,97,90,1
222,CAW-3-8,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,54,136,92,1
223,UTV-2-2,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,71,140,131,1
224,CAV-1-9,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,3,A,37,125,60,1
225,NMT-2-6,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,3,A,94,109,82,1
226,IDW-1-10,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,46,127,113,1
227,UTT-1-9,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,156,140,143,1
228,UTV-3-8,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,64,139,96,1
229,IDW-3-2,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,48,83,72,1
230,NVV-3-4,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,81,161,154,1
231,UTV-3-3,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,73,153,149,1
232,UTT-1-10,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
233,IDT-2-8,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
234,UTV-2-1,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,100,158,116,1
235,CAT-2-9,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
236,MTW-3-7,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,74,156,153,1
237,COW-1-8,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,67,150,122,1
238,ORT-2-3,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
239,WAT-2-3,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,166,246,188,1
240,CAV-3-2,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
241,NVV-3-3,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
242,UTW-2-4,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,92,152,135,1
243,NVV-2-8,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
244,NVV-3-2,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
245,ORV-2-1,OR,V,V2n,NA,NA,NA,NA,NA,NA,NA,4,A,42,125,93,1
246,IDT-2-2,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,123,181,112,1
247,UTT-1-6,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,118,158,167,1
248,WAT-1-3,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,105,175,120,1
249,MTW-3-10,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,73,120,70,1
250,ORT-2-4,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,165,210,132,1
251,NVW-1-4,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
252,UTT-3-8,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,130,201,154,1
253,ORT-2-8,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,118,155,110,1
254,NVT-1-7,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,108,193,141,1
255,MTW-3-8,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,74,138,85,1
256,COT-1-7,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,106,170,153,1
257,COT-1-3,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,4,A,69,121,80,1
258,CAV-4-3,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
259,CAT-1-3,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,108,207,131,1
260,WAT-1-2,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,176,180,174,1
